Airport_code, Name, City, State
SFO, San-Francisco-International, San-Francisco, CA
OAK, Oakland-International, Oakland, CA
LAS, McCarren-International, Las-Vegas, NV
HNL, Honolulu-International, Honolulu, HI
JFK, John-F-Kennedy-International, New-York, NY
FAT, Fresno-Yosemite-International, Fresno, CA
MSY, Louis-Armstrong, New-Orleans, LA
ORD, Chicago-OHare-International, Chicago, IL
MDW, Midway, Chicago, IL
SMF, Sacramento-International, Sacramento, CA
SCK, Stockton-Metropolitan, Stockton, CA
PHX, Phoenix-Sky-Harbor, Phoenix, AZ
DEN, Denver-Interational, Denver, CO
EWR, Newark-International, Newark, NJ
IAH, Bush-Intercontinental, Houston, TX
LAX, Los-Angeles-International, Los-Angeles, CA
DCA, Ronald-Reagan-National, Arlington, VA
IAD, Washington-Dulles-International, Dulles, VA
MSN, Dane-County-Regional, Madison, WI
MSP, Minneapolis-St-Paul, Minneapolis-St-Paul, MN
SLC, Salt-Lake-City-International, Salt-Lake-City, UT
DFW, Dallas-Fort-Worth, DFW, TX
SAN, San-Diego-International, San-Diego, CA
IWA, Phoenix-Mesa-Gateway, Phoenix, AZ
SJC, San-Jose-International, San-Jose, CA
ONT, Ontario-International, Ontario, CA
