"nome","citta","nazione","codice"
"'Goroka Airport'","'Goroka'","'Papua New Guinea'","'GKA'"
"'Madang Airport'","'Madang'","'Papua New Guinea'","'MAG'"
"'Mount Hagen Kagamuga Airport'","'Mount Hagen'","'Papua New Guinea'","'HGU'"
"'Nadzab Airport'","'Nadzab'","'Papua New Guinea'","'LAE'"
"'Port Moresby Jacksons International Airport'","'Port Moresby'","'Papua New Guinea'","'POM'"
"'Wewak International Airport'","'Wewak'","'Papua New Guinea'","'WWK'"
"'Narsarsuaq Airport'","'Narssarssuaq'","'Greenland'","'UAK'"
"'Godthaab / Nuuk Airport'","'Godthaab'","'Greenland'","'GOH'"
"'Kangerlussuaq Airport'","'Sondrestrom'","'Greenland'","'SFJ'"
"'Thule Air Base'","'Thule'","'Greenland'","'THU'"
"'Akureyri Airport'","'Akureyri'","'Iceland'","'AEY'"
"'Egilsstaðir Airport'","'Egilsstadir'","'Iceland'","'EGS'"
"'Hornafjörður Airport'","'Hofn'","'Iceland'","'HFN'"
"'Húsavík Airport'","'Husavik'","'Iceland'","'HZK'"
"'Ísafjörður Airport'","'Isafjordur'","'Iceland'","'IFJ'"
"'Keflavik International Airport'","'Keflavik'","'Iceland'","'KEF'"
"'Patreksfjörður Airport'","'Patreksfjordur'","'Iceland'","'PFJ'"
"'Reykjavik Airport'","'Reykjavik'","'Iceland'","'RKV'"
"'Siglufjörður Airport'","'Siglufjordur'","'Iceland'","'SIJ'"
"'Vestmannaeyjar Airport'","'Vestmannaeyjar'","'Iceland'","'VEY'"
"'Sault Ste Marie Airport'","'Sault Sainte Marie'","'Canada'","'YAM'"
"'St. Anthony Airport'","'St. Anthony'","'Canada'","'YAY'"
"'Tofino / Long Beach Airport'","'Tofino'","'Canada'","'YAZ'"
"'Kugaaruk Airport'","'Pelly Bay'","'Canada'","'YBB'"
"'Baie Comeau Airport'","'Baie Comeau'","'Canada'","'YBC'"
"'CFB Bagotville'","'Bagotville'","'Canada'","'YBG'"
"'Baker Lake Airport'","'Baker Lake'","'Canada'","'YBK'"
"'Campbell River Airport'","'Campbell River'","'Canada'","'YBL'"
"'Brandon Municipal Airport'","'Brandon'","'Canada'","'YBR'"
"'Cambridge Bay Airport'","'Cambridge Bay'","'Canada'","'YCB'"
"'Nanaimo Airport'","'Nanaimo'","'Canada'","'YCD'"
"'Castlegar/West Kootenay Regional Airport'","'Castlegar'","'Canada'","'YCG'"
"'Miramichi Airport'","'Chatham'","'Canada'","'YCH'"
"'Charlo Airport'","'Charlo'","'Canada'","'YCL'"
"'Kugluktuk Airport'","'Coppermine'","'Canada'","'YCO'"
"'Coronation Airport'","'Coronation'","'Canada'","'YCT'"
"'Chilliwack Airport'","'Chilliwack'","'Canada'","'YCW'"
"'Clyde River Airport'","'Clyde River'","'Canada'","'YCY'"
"'Coral Harbour Airport'","'Coral Harbour'","'Canada'","'YZS'"
"'Dawson City Airport'","'Dawson'","'Canada'","'YDA'"
"'Burwash Airport'","'Burwash'","'Canada'","'YDB'"
"'Deer Lake Airport'","'Deer Lake'","'Canada'","'YDF'"
"'Dease Lake Airport'","'Dease Lake'","'Canada'","'YDL'"
"'Dauphin Barker Airport'","'Dauphin'","'Canada'","'YDN'"
"'Dawson Creek Airport'","'Dawson Creek'","'Canada'","'YDQ'"
"'Edmonton International Airport'","'Edmonton'","'Canada'","'YEG'"
"'Arviat Airport'","'Eskimo Point'","'Canada'","'YEK'"
"'Estevan Airport'","'Estevan'","'Canada'","'YEN'"
"'Edson Airport'","'Edson'","'Canada'","'YET'"
"'Eureka Airport'","'Eureka'","'Canada'","'YEU'"
"'Inuvik Mike Zubko Airport'","'Inuvik'","'Canada'","'YEV'"
"'Iqaluit Airport'","'Iqaluit'","'Canada'","'YFB'"
"'Fredericton Airport'","'Fredericton'","'Canada'","'YFC'"
"'Forestville Airport'","'Forestville'","'Canada'","'YFE'"
"'Flin Flon Airport'","'Flin Flon'","'Canada'","'YFO'"
"'Fort Resolution Airport'","'Fort Resolution'","'Canada'","'YFR'"
"'Fort Simpson Airport'","'Fort Simpson'","'Canada'","'YFS'"
"'Kingston Norman Rogers Airport'","'Kingston'","'Canada'","'YGK'"
"'La Grande Rivière Airport'","'La Grande Riviere'","'Canada'","'YGL'"
"'Gaspé (Michel-Pouliot) Airport'","'Gaspe'","'Canada'","'YGP'"
"'Geraldton Greenstone Regional Airport'","'Geraldton'","'Canada'","'YGQ'"
"'Îles-de-la-Madeleine Airport'","'Iles De La Madeleine'","'Canada'","'YGR'"
"'Hudson Bay Airport'","'Hudson Bay'","'Canada'","'YHB'"
"'Dryden Regional Airport'","'Dryden'","'Canada'","'YHD'"
"'Ulukhaktok Holman Airport'","'Holman Island'","'Canada'","'YHI'"
"'Gjoa Haven Airport'","'Gjoa Haven'","'Canada'","'YHK'"
"'John C. Munro Hamilton International Airport'","'Hamilton'","'Canada'","'YHM'"
"'Montréal / Saint-Hubert Airport'","'Montreal'","'Canada'","'YHU'"
"'Hay River / Merlyn Carter Airport'","'Hay River'","'Canada'","'YHY'"
"'Halifax / Stanfield International Airport'","'Halifax'","'Canada'","'YHZ'"
"'Atikokan Municipal Airport'","'Atikokan'","'Canada'","'YIB'"
"'Pond Inlet Airport'","'Pond Inlet'","'Canada'","'YIO'"
"'St Jean Airport'","'St. Jean'","'Canada'","'YJN'"
"'Stephenville Airport'","'Stephenville'","'Canada'","'YJT'"
"'Kamloops Airport'","'Kamloops'","'Canada'","'YKA'"
"'Waterloo Airport'","'Waterloo'","'Canada'","'YKF'"
"'Schefferville Airport'","'Schefferville'","'Canada'","'YKL'"
"'Kindersley Airport'","'Kindersley'","'Canada'","'YKY'"
"'Buttonville Municipal Airport'","'Toronto'","'Canada'","'YKZ'"
"'Chapleau Airport'","'Chapleau'","'Canada'","'YLD'"
"'Meadow Lake Airport'","'Meadow Lake'","'Canada'","'YLJ'"
"'Lloydminster Airport'","'Lloydminster'","'Canada'","'YLL'"
"'Alert Airport'","'Alert'","'Canada'","'YLT'"
"'Kelowna International Airport'","'Kelowna'","'Canada'","'YLW'"
"'Mayo Airport'","'Mayo'","'Canada'","'YMA'"
"'Moose Jaw Air Vice Marshal C. M. McEwen Airport'","'Moose Jaw'","'Canada'","'YMJ'"
