"compagnia_aerea","aeroplano"
"Bright Air","AP577"
"Trans Mediterranean Airlines","AP680"
"Asia Continental Airlines","AP564"
"Okapi Airways","AP937"
"Aerolineas Internacionales","AP575"
"Altus Airlines","AP641"
"Air Executive","AP870"
"AirRussia","AP648"
"Presidencia de La Republica de Guinea Ecuatorial","AP780"
"PLUNA","AP337"
"TAF-Linhas Aereas","AP530"
"Avfinity","AP213"
"Canadian National Airways","AP180"
"Air Malta","AP262"
"Faroecopter","AP108"
"Aeroferinco","AP392"
"Air Niugini","AP48"
"Aero Gambia","AP429"
"Euro Sun","AP384"
"Binair","AP381"
"Nauru Air Corporation","AP566"
"Air Travel Corp.","AP178"
"Thalys","AP341"
"Cyprair Tours","AP353"
"Baseops International","AP283"
"IBM Euroflight Operations","AP349"
"Arrow Aviation Ltd.","AP695"
"Transnorthern","AP969"
"Gulf Air Bahrain","AP42"
"RAF-Avia","AP278"
"Myway Airlines","AP752"
"Freedom Airlines","AP401"
"Arkhabay","AP396"
"Taxis Aereos del Noroeste","AP350"
"Huaxia","AP880"
"Fair Wind Air Charter","AP670"
"611897 Alberta Limited","AP450"
"Farnair Netherlands","AP283"
"Bahamasair","AP647"
"Euroskylink","AP784"
"Maryland Air","AP298"
"RWL Luftfahrtgesellschaft","AP668"
"Far Eastern Air Transport","AP456"
"Phoenix Air Lines","AP55"
"ATUR","AP363"
"Orchid Airlines","AP935"
"Pacific Blue","AP382"
"Air Metack","AP152"
"ADC Airlines","AP849"
"Aviaexpress","AP153"
"Trans Air Welwitchia","AP471"
"Sky Line for Air Services","AP376"
"Ostfriesische Lufttransport","AP395"
"Svyaz Rossiya","AP434"
"International Sabilisation Assistance Force","AP878"
"Eastwind Airlines","AP528"
"Trans States Airlines","AP681"
"Abas","AP219"
"Malta Air Charter","AP813"
"Haitian Aviation Line","AP578"
"Artis","AP861"
"Norlandair","AP126"
"Punto Fa","AP900"
"Worldways","AP597"
"S7 Airlines","AP508"
"Package Express","AP786"
"Pinnacle Airlines","AP517"
"AMS Group","AP812"
"Hex'Air","AP166"
"Swedeways","AP713"
"Israir","AP732"
"Aerotaxi Mexicano","AP169"
"Himalayan Airlines","AP45"
"Citic General Aviation","AP621"
"Malindo Air","AP494"
"Tristar Air","AP508"
"Skydrift","AP257"
"Africaone","AP402"
"Specavia Air Company","AP691"
"Pacific Air Transport","AP229"
"Regional Air Services","AP788"
"Tulpar Air","AP356"
"Surinam Airways","AP253"
"DAS Airlines","AP913"
"Air S","AP481"
"Transteco","AP66"
"Marghi Air","AP873"
"University of Birmingham Air Squadron (RAF)","AP700"
"Veteran Air","AP211"
"Daimler-Chrysler","AP329"
"Speedwings","AP185"
"Lom Praha Flying School","AP863"
"Lufthansa Cargo","AP468"
"Taunus Air Gmbh","AP252"
"Triton Airlines","AP200"
"Qatar Air Cargo","AP396"
"RAF Leuchars","AP135"
"Servicios Aereos Corporativos","AP657"
"Frontier Airlines","AP965"
"Axel Rent","AP9"
"Aero Servicios Empresariales","AP536"
"McNeely Charter Services","AP780"
"Pegasus Helicopters","AP913"
"Orbit Airlines Azerbaijan","AP67"
"Aero Jomacha","AP195"
"Smarkand Aero Servise","AP412"
"Horizon Air","AP774"
"Florida West International Airways","AP982"
"CHC Helicopters","AP71"
"Falcon Aviation Services","AP399"
"Probiz Guinee","AP630"
"Aeronautical Academy of Europe","AP941"
"Pannon Air Service","AP446"
"MAS Airways","AP40"
"Lanzarote Aerocargo","AP163"
"Portugalia","AP500"
"Malta Wings","AP907"
"Novosibirsk Aviaenterprise","AP608"
"First Choice Airways","AP61"
"Malindo Air","AP385"
"Cloud 9 Air Charters","AP308"
"Rio Airways","AP686"
"Buffalo Airways","AP239"
"Aerotaxi Grupo Tampico","AP501"
"High-Line Airways","AP84"
"Eastland Air","AP204"
"Air Greenland","AP347"
"Ecuatoguineana De Aviacion (EGA)","AP446"
"Tobruk Air","AP598"
"Oulun Tilauslento","AP990"
"TEA Switzerland","AP390"
"Botir-Avia","AP166"
"Gull Air","AP808"
"Austin Express","AP581"
"Eram Air","AP176"
"Orient Airlines","AP723"
"Proteus Helicopteres","AP859"
"Cabair College of Air Training","AP73"
"Fly Colombia ( Interliging Flights )","AP983"
"London Executive Aviation","AP400"
"Esso Resources Canada","AP103"
"Air VIA","AP414"
"Air Excel","AP305"
"Turbine Air Cargo UK","AP411"
"Air Kazakhstan","AP143"
"Ocean Wings Commuter Service","AP713"
"Sukhoi Design Bureau Company","AP249"
"Bissau Aero Transporte","AP875"
"Navegacao Aerea De Portugal","AP522"
"Crown Airways","AP262"
"Northeast Airlines","AP6"
"Talair","AP825"
"Mauritanienne Airways","AP313"
"World Scale Airlines","AP176"
"Royal Aruban Airline","AP682"
"Lone Star Airlines","AP974"
"Czech Air Handling","AP387"
"Avia Consult Flugbetriebs","AP296"
"Air Marrakech Service","AP129"
"Air Klaipeda","AP805"
