"tratta","data_istanza","aeroplano","numero_posti_rimanenti"
"T28","2013-02-12","AP17",24
"T37","2005-10-24","AP590",24
"T44","2005-11-09","AP80",44
"T11","2001-03-14","AP624",53
"T35","2013-09-29","AP143",10
"T26","2006-03-16","AP734",28
"T27","2006-11-27","AP543",236
"T45","2009-10-16","AP667",155
"T40","2011-11-09","AP714",13
"T45","2009-05-04","AP405",10
"T34","2015-09-23","AP596",10
"T6","2008-06-18","AP391",74
"T3","1995-10-23","AP545",7
"T38","1999-02-17","AP298",27
"T4","1996-02-26","AP53",73
"T11","1999-12-11","AP217",56
"T36","2001-09-06","AP794",56
"T27","2001-08-31","AP128",26
"T20","1995-02-09","AP35",3
"T37","2009-02-24","AP791",100
"T49","1991-10-24","AP86",39
"T3","2013-12-24","AP637",344
"T18","2015-04-15","AP344",526
"T50","2001-06-27","AP268",86
"T48","1995-11-27","AP231",25
"T40","2017-01-14","AP929",3
"T26","1993-11-25","AP489",22
"T18","1998-09-04","AP763",1
"T50","2001-08-01","AP569",31
"T43","2020-09-16","AP523",23
"T40","1997-08-21","AP717",21
"T2","2018-09-29","AP239",66
"T29","2019-05-05","AP167",28
"T50","2019-03-20","AP992",20
"T5","1997-03-12","AP652",6
"T35","1990-05-07","AP367",29
"T25","2000-10-01","AP277",90
"T46","1994-08-22","AP520",30
"T24","1992-08-10","AP607",103
"T17","2003-06-30","AP179",16
"T17","1990-10-31","AP622",42
"T16","2013-09-04","AP635",82
"T49","2006-12-01","AP721",6
"T50","2020-01-31","AP832",121
"T23","2011-02-14","AP921",10
"T36","1991-12-21","AP736",16
"T47","2018-11-19","AP752",49
"T25","1999-12-11","AP65",47
"T29","2015-08-12","AP589",19
"T20","1995-06-22","AP862",51
"T36","1992-10-10","AP414",55
"T45","2000-06-12","AP757",9
"T7","2006-07-11","AP134",55
"T49","1991-05-22","AP650",25
"T33","2006-01-14","AP313",19
"T31","2007-06-06","AP496",18
"T19","1991-09-06","AP538",140
"T11","1991-02-14","AP44",41
"T32","1993-06-02","AP165",24
"T3","1994-09-23","AP710",14
"T2","1994-08-16","AP128",3
"T32","2010-06-29","AP140",46
"T48","2004-10-25","AP416",8
"T49","2003-06-08","AP948",47
"T37","2015-07-22","AP377",30
"T7","2016-11-25","AP148",53
"T39","2014-06-19","AP994",27
"T4","2020-10-14","AP567",11
"T34","1999-08-16","AP849",63
"T9","1996-07-01","AP543",137
"T18","2018-11-13","AP864",19
"T9","2010-03-06","AP56",175
"T31","1998-12-05","AP663",47
"T6","2019-12-23","AP624",61
"T44","1998-11-03","AP918",85
"T42","2003-05-04","AP154",27
"T33","1994-02-13","AP1",13
"T26","2006-01-10","AP403",69
"T47","2004-11-24","AP106",262
"T2","2000-11-26","AP434",14
"T34","2014-04-12","AP135",38
"T2","1995-01-25","AP475",75
"T34","2006-01-10","AP612",25
"T28","2001-12-04","AP25",21
"T24","1990-08-06","AP623",29
"T24","2009-07-21","AP112",52
"T41","2017-09-30","AP715",45
"T9","2017-11-17","AP799",191
"T50","1990-06-27","AP500",87
"T34","1999-07-12","AP254",80
"T33","2019-12-19","AP772",14
"T24","1996-05-22","AP131",102
"T42","2011-08-02","AP321",31
"T18","2008-11-17","AP839",73
"T29","2014-07-04","AP819",9
"T32","2008-05-06","AP749",15
"T10","2016-06-09","AP211",28
"T45","2008-07-27","AP19",304
"T48","2003-08-13","AP305",3
"T35","1993-03-01","AP919",26
"T37","2017-04-05","AP429",13
"T31","2005-11-08","AP412",7
"T37","2001-08-27","AP316",88
"T5","2008-11-25","AP84",150
"T37","1997-08-26","AP403",26
"T5","1999-04-26","AP898",8
"T42","2005-10-02","AP598",55
"T43","2018-05-08","AP188",64
"T38","2018-12-15","AP295",45
"T23","1991-11-27","AP414",128
"T43","1999-08-23","AP723",87
"T23","2013-10-21","AP280",117
"T21","1991-11-20","AP757",26
"T36","2004-03-21","AP722",53
"T18","1993-09-08","AP14",51
"T37","1991-02-17","AP150",61
"T33","2011-01-11","AP165",12
"T11","2002-05-24","AP713",147
"T6","2008-11-13","AP784",29
"T47","2015-06-18","AP310",121
"T10","2002-11-22","AP290",28
"T25","2000-09-25","AP879",49
"T10","1994-11-11","AP518",207
"T37","2005-08-08","AP158",123
"T32","2004-09-09","AP546",38
"T4","2002-06-28","AP507",18
"T21","2016-03-08","AP923",19
"T8","2019-12-11","AP421",34
"T46","2011-02-13","AP320",37
"T47","2019-03-09","AP238",25
"T21","2009-09-03","AP749",6
"T37","1995-02-22","AP697",59
"T11","2003-12-04","AP848",3
"T36","2002-04-13","AP45",37
"T32","1996-05-02","AP797",25
"T49","2000-10-13","AP825",10
"T35","2008-02-14","AP635",100
"T7","2012-12-10","AP143",12
"T41","2012-11-12","AP294",43
"T25","2008-12-02","AP492",27
"T13","2000-12-01","AP702",15
"T13","2010-09-22","AP740",250
"T33","2020-05-09","AP325",22
"T30","2002-02-07","AP940",69
"T48","2002-10-10","AP784",29
"T14","1998-09-28","AP353",111
"T18","2015-01-01","AP778",1
"T6","2000-10-15","AP727",38
"T37","2012-09-17","AP547",9
"T27","1992-11-23","AP735",84
"T4","2006-12-25","AP19",284
"T49","2006-12-13","AP95",20
