"tipo_aeroplano","aeroporto"
"CRJ100","'ACK'"
"MD80","'IRD'"
"777","'ART'"
"A319","'SVJ'"
"777","'GXF'"
"787","'XFW'"
"727","'FKB'"
"CRJ440","'TUS'"
"777","'DLA'"
"MD80","'KYU'"
"CRJ100","'NSN'"
"A319","'TUM'"
"CRJ700","'UDD'"
"MD80","'PJG'"
"787","'BZA'"
"A319","'BAQ'"
"CRJ700","'VLV'"
"CRJ440","'FUT'"
"757","'ONO'"
"767","'YOP'"
"A321","'HOI'"
"787","'KWM'"
"707","'BGR'"
"MD80","'VOK'"
"ERJ145","'LIH'"
"787","'LHK'"
"CRJ700","'QPW'"
"ERJ145","'KZG'"
"A319","'HPG'"
"747","'LJA'"
"787","'CAQ'"
"170","'NGB'"
"787","'ELP'"
"787","'MQL'"
"CRJ700","'ROS'"
"A319","'SMV'"
"CRJ440","'JZH'"
"CRJ100","'KSI'"
"787","'XTO'"
"MD80","'RDB'"
"170","'IFL'"
"787","'JRA'"
"A320","'YUT'"
"707","'THU'"
"ERJ145","'GAI'"
"CRJ440","'MZO'"
"727","'WLH'"
"ERJ145","'CMF'"
"737","'PSJ'"
"777","'SLF'"
"727","'ENT'"
"767","'ACS'"
"767","'HKY'"
"190","'LSQ'"
"767","'YPR'"
"767","'LHS'"
"CRJ700","'NMA'"
"A332","'OKC'"
"170","'BWW'"
"A332","'SVJ'"
"A332","'BLA'"
"A332","'HAK'"
"A332","'LEW'"
"CRJ700","'IFH'"
"190","'HXX'"
"707","'BLI'"
"757","'NMS'"
"CRJ440","'KRP'"
"CRJ440","'MRY'"
"707","'NZJ'"
"757","'LPT'"
"CRJ440","'ORD'"
"787","'DPO'"
"CRJ440","'GBZ'"
"767","'MLA'"
"MD80","'PDA'"
"727","'SKF'"
"737","'GFN'"
"787","'CTC'"
"CRJ100","'LEK'"
"787","'YQQ'"
"787","'GLI'"
"757","'MDC'"
"A332","'BOS'"
"707","'TAM'"
"CRJ440","'MKM'"
"190","'HOT'"
"CRJ700","'CRL'"
"787","'PVA'"
"CRJ100","'TYF'"
"757","'FAZ'"
"737","'AFY'"
"CRJ700","'BEG'"
"CRJ100","'VLI'"
"A321","'PSE'"
"747","'WLS'"
"A320","'KAI'"
"CRJ100","'MAQ'"
"737","'KHS'"
"A321","'MQY'"
"727","'LMQ'"
"ERJ145","'MTM'"
"ERJ145","'KEY'"
"A320","'CMH'"
"MD80","'XAU'"
"777","'MOU'"
"727","'KSE'"
"787","'ILA'"
"CRJ100","'BUX'"
"A319","'MZJ'"
"MD80","'UYL'"
"747","'LDB'"
"787","'ARC'"
"747","'MCL'"
"767","'PSP'"
"A319","'YWM'"
"A320","'CPH'"
"CRJ100","'GND'"
"A321","'ZBR'"
"777","'FHU'"
"767","'SMV'"
"757","'VIR'"
"CRJ100","'UBA'"
"A332","'SGX'"
"190","'ACA'"
"707","'MOI'"
"737","'YLJ'"
"A332","'CJJ'"
"737","'RUD'"
"767","'PEQ'"
"757","'YGP'"
"CRJ440","'KOA'"
"170","'MFM'"
"A321","'KCF'"
"747","'SDG'"
"190","'LUD'"
"A321","'SQL'"
"707","'HCW'"
"190","'EOK'"
"170","'CVN'"
"CRJ700","'HDM'"
"170","'GIG'"
"747","'DXR'"
"A319","'ECP'"
"CRJ440","'TJU'"
"CRJ440","'BON'"
"A320","'TPN'"
"707","'MOQ'"
"A321","'YNT'"
"707","'SIO'"
"707","'LNZ'"
"CRJ440","'TUA'"
"ERJ145","'BFK'"
"747","'PWE'"
"190","'SWJ'"
"727","'BKW'"
"757","'HUL'"
"ERJ145","'KHJ'"
"A320","'MXJ'"
"CRJ700","'TOQ'"
"A321","'PKO'"
"777","'RZP'"
"ERJ145","'GLU'"
"727","'THG'"
"CRJ440","'KDC'"
"A321","'GBZ'"
"707","'PCB'"
"ERJ145","'ZCN'"
"CRJ440","'AUH'"
"787","'KKW'"
"A332","'ABH'"
"767","'FKS'"
"ERJ145","'SOM'"
"767","'GUY'"
"747","'LWC'"
"ERJ145","'TBJ'"
"190","'DES'"
"A332","'CLZ'"
"170","'ZGR'"
"CRJ700","'IXL'"
"A332","'GLO'"
"777","'PMD'"
"A320","'EFD'"
"A321","'SXR'"
"727","'VNX'"
"787","'PNS'"
"737","'EIB'"
"757","'SGX'"
"767","'OHS'"
"A321","'PTX'"
"A321","'NNT'"
"CRJ100","'NYA'"
"MD80","'TAT'"
"767","'TLE'"
"MD80","'PHB'"
"170","'MUB'"
"A320","'FUL'"
"707","'TNH'"
"747","'SZW'"
"170","'JNI'"
"CRJ100","'MAY'"
"MD80","'FBR'"
"A319","'NIB'"
"A319","'ANV'"
"787","'BJO'"
"170","'YOJ'"
"787","'MCJ'"
"787","'RSW'"
"170","'AXK'"
"767","'NNG'"
"A320","'MRG'"
"A320","'AOJ'"
"MD80","'YHR'"
"707","'AEI'"
"CRJ100","'OLF'"
"727","'NGO'"
"747","'BWN'"
"MD80","'ZPC'"
"A319","'ICI'"
"787","'SDQ'"
"CRJ440","'OHE'"
"787","'SLN'"
"707","'SBR'"
"ERJ145","'CIY'"
"787","'FCO'"
"A320","'NHK'"
"707","'TEE'"
"MD80","'ALE'"
"A332","'XEN'"
"A320","'NUX'"
"707","'DRT'"
"787","'TOL'"
"A319","'LEA'"
"707","'CMH'"
