"","tratta","volo","numero_progressivo"
"1","T21889","V37",1
"2","T44495","V44",1
"3","T52564","V16",1
"4","T61345","V26",1
"5","T49537","V13",1
"6","T35792","V31",1
"7","T4433","V27",1
"8","T16662","V2",1
"9","T45843","V11",1
"10","T16682","V17",1
"11","T6907","V39",1
"12","T62394","V43",1
"13","T17962","V30",1
"14","T8065","V46",1
"15","T23538","V33",1
"16","T28193","V32",1
"17","T31603","V4",1
"18","T66923","V10",2
"19","T5557","V29",1
"20","T40187","V45",1
"21","T8279","V14",1
"22","T16127","V1",1
"23","T4813","V28",1
"24","T1247","V15",1
"25","T21746","V49",2
"26","T3533","V25",1
"27","T12642","V19",1
"28","T18775","V12",1
"29","T41609","V21",1
"30","T49407","V6",1
"31","T43186","V42",1
"32","T59608","V34",1
"33","T38725","V20",1
"34","T23502","V24",2
"35","T22160","V36",1
"36","T54797","V38",1
"37","T54761","V5",1
"38","T24717","V50",1
"39","T8112","V3",1
"40","T42690","V41",1
"41","T53861","V23",2
"42","T8234","V18",1
"43","T67347","V40",1
"44","T64964","V35",1
"45","T32744","V8",1
"46","T59678","V7",1
"47","T11694","V22",2
"48","T20893","V9",1
"49","T15267","V47",1
"50","T36965","V48",1
